module,doctype,field,fieldtype,mandatory,reference_note,django_app,django_model,django_field,status,evidence
Ssbikez,AMC Invoice items,amc_type,Link,yes,AMC Type,,,,,
Ssbikez,AMC Invoice items,quantity,Int,yes,Quantity,,,,,
Ssbikez,AMC Invoice items,hsn_code,Data,no,HSN Code,,,,,
Ssbikez,AMC Invoice items,rate,Currency,yes,Rate,,,,,
Ssbikez,AMC Invoice items,amc_amount,Currency,yes,AMC Amount,,,,,
Ssbikez,AMC Invoice,section_break_ixyh,Section Break,no,,,,,,
Ssbikez,AMC Invoice,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC Invoice,company,Link,no,Company,,,,,
Ssbikez,AMC Invoice,invoice_no,Data,yes,Invoice No,,,,,
Ssbikez,AMC Invoice,supplier,Link,yes,Supplier,,,,,
Ssbikez,AMC Invoice,gst_,Link,yes,GST %,,,,,
Ssbikez,AMC Invoice,pay_mode,Link,no,Pay Mode,,,,,
Ssbikez,AMC Invoice,amc_type,Link,no,AMC Type,,,,,
Ssbikez,AMC Invoice,amc_amount,Currency,no,AMC Amount,,,,,
Ssbikez,AMC Invoice,column_break_idhf,Column Break,no,,,,,,
Ssbikez,AMC Invoice,invoice_date,Date,yes,Invoice Date,,,,,
Ssbikez,AMC Invoice,branch,Link,yes,Branch,,,,,
Ssbikez,AMC Invoice,quantity,Int,no,Quantity,,,,,
Ssbikez,AMC Invoice,payment_type,Select,no,Payment Type,,,,,
Ssbikez,AMC Invoice,status,Data,no,Status,,,,,
Ssbikez,AMC Invoice,payment_status,Data,no,Payment Status,,,,,
Ssbikez,AMC Invoice,naming_series,Select,no,Naming Series,,,,,
Ssbikez,AMC Invoice,section_break_gurm,Section Break,no,,,,,,
Ssbikez,AMC Invoice,amc_invoice_items,Table,no,AMC Invoice items,,,,,
Ssbikez,AMC Invoice,section_break_uyug,Section Break,no,,,,,,
Ssbikez,AMC Invoice,total_amount,Currency,yes,Total Amount,,,,,
Ssbikez,AMC Invoice,column_break_mxdb,Column Break,no,,,,,,
Ssbikez,AMC Invoice,pending_amount,Currency,yes,Pending Amount,,,,,
Ssbikez,AMC Stock History,date,Date,yes,Date,,,,,
Ssbikez,AMC Stock History,branch,Link,yes,Branch,,,,,
Ssbikez,AMC Stock History,supplier,Data,yes,Supplier,,,,,
Ssbikez,AMC Stock History,quantity,Int,yes,Quantity,,,,,
Ssbikez,AMC Stock History,updated_quantity,Int,no,Balance Quantity,,,,,
Ssbikez,AMC Stock,amc,Link,yes,AMC,,,,,
Ssbikez,AMC Stock,stock,Int,no,Stock,,,,,
Ssbikez,AMC Stock,column_break_usdhk,Column Break,no,,,,,,
Ssbikez,AMC Stock,purchase_order_details,Small Text,no,Purchase Order Details,,,,,
Ssbikez,AMC Stock,section_break_haphh,Section Break,no,,,,,,
Ssbikez,AMC Stock,stock_history,Table,no,Stock History,,,,,
Ssbikez,AMC Stock,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC Types,company,Link,no,Company,,,,,
Ssbikez,AMC Types,amc_type,Data,yes,AMC Type,,,,,
Ssbikez,AMC Types,amc_validity_days,Int,yes,AMC Validity Days,,,,,
Ssbikez,AMC Types,column_break_jqeo,Column Break,no,,,,,,
Ssbikez,AMC Types,branch,Link,no,Branch,,,,,
Ssbikez,AMC Types,amc_amount,Currency,no,AMC Amount,,,,,
Ssbikez,AMC Types,hsn_code,Data,no,HSN Code,,,,,
Ssbikez,AMC Types,reference_number,Data,no,Reference Number,,,,,
Ssbikez,AMC Types,section_break_bveb,Section Break,no,,,,,,
Ssbikez,AMC Types,ss_bikes,Check,no,SS Bikes,,,,,
Ssbikez,AMC Types,column_break_tymz,Column Break,no,,,,,,
Ssbikez,AMC Types,yamaha,Check,no,Yamaha,,,,,
Ssbikez,AMC Types,column_break_bnsk,Column Break,no,,,,,,
Ssbikez,AMC Types,deactivate_amc,Check,no,Deactivate AMC,,,,,
Ssbikez,AMC Types,section_break_pdzn,Section Break,no,,,,,,
Ssbikez,AMC Types,vehicle_type,Link,no,Vehicle Type,,,,,
Ssbikez,AMC Types,column_break_rwob,Column Break,no,,,,,,
Ssbikez,AMC Types,no_of_service,Int,no,No of Service,,,,,
Ssbikez,AMC Types,column_break_zpwh,Column Break,no,,,,,,
Ssbikez,AMC Types,water_wash_count_free,Int,no,Water Wash Count (Free),,,,,
Ssbikez,AMC Types,column_break_yloh,Column Break,no,,,,,,
Ssbikez,AMC Types,service_interval_days,Int,no,Service Interval (days),,,,,
Ssbikez,AMC Types,column_break_eqjw,Column Break,no,,,,,,
Ssbikez,AMC Types,grace_days,Int,no,Grace Days,,,,,
Ssbikez,AMC,amc_type_section,Section Break,no,AMC Type,,,,,
Ssbikez,AMC,ss_bikes,Check,no,SS Bikes,,,,,
Ssbikez,AMC,column_break_tb7jg,Column Break,no,,,,,,
Ssbikez,AMC,yamaha,Check,no,YAMAHA,,,,,
Ssbikez,AMC,section_break_uohvy,Section Break,no,,,,,,
Ssbikez,AMC,date,Date,yes,Date,,,,,
Ssbikez,AMC,amount,Currency,yes,Amount,,,,,
Ssbikez,AMC,branch,Link,yes,Branch,,,,,
Ssbikez,AMC,company,Link,no,Company,,,,,
Ssbikez,AMC,naming_series,Select,no,Series,,,,,
Ssbikez,AMC,column_break_npokz,Column Break,no,,,,,,
Ssbikez,AMC,order_form_id,Link,no,Order Form ID,,,,,
Ssbikez,AMC,gst,Link,yes,GST %,,,,,
Ssbikez,AMC,column_break_fikng,Column Break,no,,,,,,
Ssbikez,AMC,vehicle_number,Data,no,Vehicle Number,,,,,
Ssbikez,AMC,total_amount,Currency,yes,Total Amount,,,,,
Ssbikez,AMC,ledger_voucher_no,Link,no,Ledger Voucher No,,,,,
Ssbikez,AMC,column_break_kisvt,Column Break,no,,,,,,
Ssbikez,AMC,chasis_number,Data,no,Chasis Number,,,,,
Ssbikez,AMC,gst_amount,Currency,no,GST Amount,,,,,
Ssbikez,AMC,customer,Link,no,Customer,,,,,
Ssbikez,AMC,column_break_dstgb,Column Break,no,,,,,,
Ssbikez,AMC,amc_no,Link,yes,AMC Plan,,,,,
Ssbikez,AMC,with_out_gst_amount,Currency,no,Taxable Amount,,,,,
Ssbikez,AMC,vehicle_name,Link,no,Vehicle Name,,,,,
Ssbikez,AMC,section_break_4vtnl,Section Break,no,,,,,,
Ssbikez,AMC,vehicle_group,Link,no,Vehicle Group,,,,,
Ssbikez,AMC,column_break_w2sbp,Column Break,no,,,,,,
Ssbikez,AMC,no_of_service,Int,no,No of Service,,,,,
Ssbikez,AMC,column_break_dfnnt,Column Break,no,,,,,,
Ssbikez,AMC,water_wash_count_free,Int,no,Water Wash Count (Free),,,,,
Ssbikez,AMC,column_break_tdlmv,Column Break,no,,,,,,
Ssbikez,AMC,service_interval,Int,no,Service Interval(Days),,,,,
Ssbikez,AMC,column_break_ujdqk,Column Break,no,,,,,,
Ssbikez,AMC,grace_days,Int,no,Grace Days,,,,,
Ssbikez,AMC,amended_from,Link,no,Amended From,,,,,
Ssbikez,AMC,amended_from,Link,no,Amended From,,,,,
Ssbikez,Add AMC Stock,purchase_type,Link,yes,Purchase Type,,,,,
Ssbikez,Add AMC Stock,company,Data,no,Company,,,,,
Ssbikez,Add AMC Stock,branch,Link,yes,Branch,,,,,
Ssbikez,Add AMC Stock,column_break_mswd,Column Break,no,,,,,,
Ssbikez,Add AMC Stock,supplier,Link,yes,Supplier,,,,,
Ssbikez,Add AMC Stock,purchase_order_details,Small Text,no,Purchase Order Details,,,,,
Ssbikez,Add AMC Stock,column_break_zjyz,Column Break,no,,,,,,
Ssbikez,Add AMC Stock,purchase_quantity,Int,yes,Purchase Quantity,,,,,
Ssbikez,Add AMC Stock,section_break_ziaz,Section Break,no,,,,,,
Ssbikez,Add AMC Stock,update_stock,Button,no,Update Stock,,,,,
Ssbikez,Add New Spares,disable,Check,no,Disable,,,,,
Ssbikez,Add New Spares,section_break_fmg7p,Section Break,no,,,,,,
Ssbikez,Add New Spares,category,Select,yes,Category,,,,,
Ssbikez,Add New Spares,brand,Data,no,Brand,,,,,
Ssbikez,Add New Spares,hsn_code,Link,yes,HSN Code,,,,,
Ssbikez,Add New Spares,helmet_rate,Currency,no,Helmet Rate,,,,,
Ssbikez,Add New Spares,column_break_cnsfd,Column Break,no,,,,,,
Ssbikez,Add New Spares,item_code,Data,no,Item Code,,,,,
Ssbikez,Add New Spares,helmet_code,Data,no,Helmet Code,,,,,
